	city	station_name	empty_slots	slots	free_bikes	ebikes	latitude	longitude	timestamp
597	Toronto	Chester Subway Station	9	9	0	0	43.6784834	-79.3513564	2023-06-05T15:38:08.860000Z
598	Toronto	Bloor St W / Old Mill Trl	13	19	6	0	43.65016869999999	-79.4963345	2023-06-05T15:38:09.099000Z
599	Toronto	Wendover Rd / Bloor St W (Green P)	1	15	14	1	43.6492	-79.50601999999999	2023-06-05T15:38:09.101000Z
600	Toronto	Luttrell Ave / Danforth Ave	11	15	4	0	43.6897656	-79.2939525	2023-06-05T15:38:08.895000Z
601	Toronto	1926 Lake Shore Blvd W	17	23	6	0	43.6357643	-79.4674917	2023-06-05T15:38:08.651000Z
602	Toronto	Willingdon Blvd / Bloor St W (Green P)	9	15	5	1	43.64839	-79.51008	2023-06-05T15:38:08.894000Z
603	Toronto	36 Park Lawn Rd	2	15	13	0	43.62369169999999	-79.4838132	2023-06-05T15:38:08.651000Z
604	Toronto	Howard Park Ave / Parkside Dr	9	15	6	0	43.648657	-79.458111	2023-06-05T15:38:09.090000Z
605	Toronto	Ted Rogers Way / Bloor St E	19	23	4	0	43.671293	-79.380471	2023-06-05T15:38:08.834000Z
606	Toronto	Walter Saunders Park	9	14	5	0	43.699327072589426	-79.4493630391668	2023-06-05T15:38:08.647000Z
607	Toronto	Park Lawn Rd / Berry Rd	5	15	10	0	43.63560589999999	-79.4934616	2023-06-05T15:38:08.647000Z
