	Unnamed: 0	city	station_name	empty_slots	slots	free_bikes	ebikes	latitude	longitude	timestamp	foursquare_num_poi	Yelp_poi_count
348	348	Toronto	Sherbourne St N / Elm Ave	17	22	5	0	43.6752732	-79.3778458	2023-06-05T15:38:08.828000Z	0	250
349	349	Toronto	Walnut Ave / Queen St W	13	16	3	0	43.645469	-79.411084	2023-06-05T15:38:08.826000Z	0	557
350	350	Toronto	Vaughan Rd /Wychwood Ave	19	19	0	0	43.6882821	-79.4253856	2023-06-05T15:38:08.949000Z	0	196
351	351	Toronto	Palmerston Ave / Dundas St W	22	23	0	0	43.651603	-79.408346	2023-06-05T15:38:08.827000Z	0	502
352	352	Toronto	541 Huron St - SMART	11	19	8	0	43.670206	-79.402643	2023-06-05T15:38:08.878000Z	0	596
353	353	Toronto	Euclid Ave / Herrick St - SMART	9	16	7	0	43.661559	-79.413845	2023-06-05T15:38:08.826000Z	0	644
354	354	Toronto	Baldwin St / Henry St	2	15	13	0	43.6560758	-79.393259	2023-06-05T15:38:09.018000Z	0	832
355	355	Toronto	Orde St / McCaul St	1	15	14	0	43.6580442	-79.3927404	2023-06-05T15:38:08.696000Z	0	705
356	356	Toronto	Ross St / Cecil St - SMART	6	18	12	0	43.6568254	-79.3966159	2023-06-05T15:38:08.616000Z	0	632
357	357	Toronto	Lake Shore Blvd W / Thirty Ninth Street	6	19	13	0	43.5927419	-79.54033009999999	2023-06-05T15:38:08.586000Z	0	41
358	358	Toronto	Lake Shore Blvd W / Twenty Fourth St	6	19	13	0	43.597082	-79.522768	2023-06-05T15:38:08.585000Z	0	49
359	359	Toronto	Windsor St / Newcastle St	24	31	7	0	43.6171635	-79.4971065	2023-06-05T15:38:08.588000Z	0	111
360	360	Toronto	Royal York Rd / Mimico Ave	1	20	18	0	43.612063	-79.496573	2023-06-05T15:38:08.589000Z	0	111
361	361	Toronto	Berry Rd / Bell Manor Dr	7	19	12	0	43.63732	-79.489083	2023-06-05T15:38:09.029000Z	0	27
362	362	Toronto	Humber College	1	27	26	0	43.5961692	-79.5160575	2023-06-05T15:38:08.589000Z	0	48
363	363	Toronto	Amos Waites Park	8	27	18	0	43.613606	-79.4883535	2023-06-05T15:38:08.530000Z	0	94
364	364	Toronto	Priscilla  Ave / Dundas St W	19	23	4	0	43.664665	-79.489385	2023-06-05T15:38:08.714000Z	0	104
365	365	Toronto	Durie St / Dundas St W	15	23	8	0	43.665523	-79.484892	2023-06-05T15:38:08.713000Z	0	110
366	366	Toronto	St Clair Ave W / Castleton Ave	4	19	15	0	43.668496	-79.485426	2023-06-05T15:38:08.715000Z	0	62
367	367	Toronto	Weston Lions Park	18	27	9	0	43.698841	-79.519472	2023-06-05T15:38:08.712000Z	0	18
368	368	Toronto	Annette St / Jane St	11	15	4	0	43.658574	-79.487246	2023-06-05T15:38:08.715000Z	0	94
369	369	Toronto	Jameson Ave / Queen St W	12	27	15	0	43.63985	-79.43703	2023-06-05T15:38:08.809000Z	0	284
370	370	Toronto	Carlaw Ave / Dundas St E	12	17	5	0	43.665076	-79.341509	2023-06-05T15:38:08.897000Z	0	370
371	371	Toronto	Toronto Inukshuk Park	32	47	15	0	43.6323994	-79.40978179999999	2023-06-05T15:38:08.810000Z	0	65
372	372	Toronto	Cosburn Ave / Durant Ave	9	15	6	0	43.6935477	-79.3301658	2023-06-05T15:38:08.614000Z	0	50
373	373	Toronto	Swansea Community Centre	13	15	2	0	43.6438036	-79.4770327	2023-06-05T15:38:09.028000Z	0	169
374	374	Toronto	Bellwoods Ave / Treford Pl - SMART	20	20	0	0	43.65246	-79.413528	2023-06-05T15:38:09.014000Z	0	519
375	375	Toronto	Bayview Ave / Lawren Harris Square	15	15	0	0	43.6548521	-79.35397680000001	2023-06-05T15:38:08.900000Z	0	332
376	376	Toronto	The Queensway / High St	6	23	17	0	43.630874	-79.482407	2023-06-05T15:38:08.588000Z	0	128
377	377	Toronto	Symington Ave / Davenport Rd	12	13	1	0	43.6704403	-79.45328549999999	2023-06-05T15:38:08.666000Z	0	104
378	378	Toronto	Front St E / Bayview Avenue	19	22	3	0	43.6535	-79.354068	2023-06-05T15:38:08.903000Z	0	334
379	379	Toronto	Oak St / Sumach St	9	27	18	0	43.6617908	-79.361515	2023-06-05T15:38:08.902000Z	0	301
380	380	Toronto	The Esplanade / Hahn Pl	14	19	3	0	43.649709	-79.364184	2023-06-05T15:38:09.040000Z	0	623
381	381	Toronto	439 Sherbourne St	12	47	34	0	43.666051	-79.374161	2023-06-05T15:38:09.007000Z	0	625
382	382	Toronto	Glebe Rd W / Yonge St	18	19	0	0	43.7005976	-79.397345	2023-06-05T15:38:08.564000Z	0	289
383	383	Toronto	Hillsdale Ave W / Yonge St	14	15	1	0	43.7029672	-79.3979073	2023-06-05T15:38:09.108000Z	0	326
384	384	Toronto	Alvin Ave / St Clair Ave E	17	19	2	0	43.68871	-79.39264	2023-06-05T15:38:09.013000Z	0	136
385	385	Toronto	Eglinton Ave W / Scarlett Rd	17	22	5	0	43.6834703	-79.5108942	2023-06-05T15:38:09.111000Z	0	3
386	386	Toronto	The Pond Rd / Sentinel Rd	11	27	16	0	43.7696262	-79.5025943	2023-06-05T15:38:09.104000Z	0	35
387	387	Toronto	Sentinel Rd / Finch Hydro Corridor	20	27	7	0	43.7641485	-79.5012809	2023-06-05T15:38:09.105000Z	0	43
388	388	Toronto	Finch West Subway Station	21	23	2	0	43.76521	-79.491281	2023-06-05T15:38:09.106000Z	0	47
389	389	Toronto	Dufferin St / Finch Hydro Recreational Trail	19	19	0	0	43.7724019	-79.4675395	2023-06-05T15:38:09.107000Z	0	25
390	390	Toronto	G Ross Lord Park	19	19	0	0	43.7781116	-79.467963	2023-06-05T15:38:09.102000Z	0	21
391	391	Toronto	Elwood Blvd / Avenue Rd	22	23	1	0	43.707049	-79.40966	2023-06-05T15:38:08.846000Z	0	145
392	392	Toronto	Roehampton St / Bayview Ave	24	27	0	0	43.711751	-79.378615	2023-06-05T15:38:08.638000Z	0	49
393	393	Toronto	Teddington Park Ave	14	15	1	0	43.732975	-79.40401	2023-06-05T15:38:08.837000Z	0	39
394	394	Toronto	Ursula Franklin St / Huron St - SMART	5	20	15	0	43.660274	-79.398049	2023-06-05T15:38:08.973000Z	0	521
395	395	Toronto	Woodbine Ave / O'Connor Dr	13	19	6	2	43.699281	-79.318802	2023-06-05T15:38:08.971000Z	0	66
396	396	Toronto	O'Connor Dr / Curity Ave - Smart	19	24	5	1	43.707582	-79.311439	2023-06-05T15:38:08.970000Z	0	27
397	397	Toronto	Dawes Rd / Taylor Creek Trl	1	19	18	0	43.696631	-79.297436	2023-06-05T15:38:08.966000Z	0	160
398	398	Toronto	Queen St W / John St	1	23	21	0	43.650077	-79.391291	2023-06-05T15:38:09.015000Z	0	1400
399	399	Toronto	Fairmount Park	6	19	12	0	43.6765897	-79.3163022	2023-06-05T15:38:08.965000Z	0	138
400	400	Toronto	Richmond St W / York St	1	17	16	0	43.650745	-79.383633	2023-06-05T15:38:08.837000Z	0	1636
401	401	Toronto	Sunnybrook Park	21	27	4	0	43.720233	-79.362092	2023-06-05T15:38:08.963000Z	0	51
402	402	Toronto	Vaughan Rd / Oakwood Ave	19	19	0	0	43.6926825	-79.441042	2023-06-05T15:38:08.775000Z	0	35
403	403	Toronto	Braemar Ave / Eglinton Ave W	13	14	1	0	43.7041957	-79.4094472	2023-06-05T15:38:08.775000Z	0	99
404	404	Toronto	Eglinton Ave E / Redpath Ave	15	15	0	0	43.7078691	-79.39248	2023-06-05T15:38:08.682000Z	0	295
405	405	Toronto	Marie Curtis Park	4	23	17	1	43.5880774	-79.5432067	2023-06-05T15:38:08.683000Z	0	23
406	406	Toronto	Guildwood GO Station (South)	6	11	4	0	43.754978	-79.1971289	2023-06-05T15:38:08.679000Z	0	28
407	407	Toronto	Chorley Park - SMART	19	20	0	0	43.6856	-79.3718	2023-06-05T15:38:08.996000Z	0	21
408	408	Toronto	Cherry Beach	44	49	3	0	43.637764	-79.345359	2023-06-05T15:38:08.559000Z	0	8
409	409	Toronto	Spadina Ave / Harbord St - SMART	11	36	24	0	43.6629228	-79.4018451	2023-06-05T15:38:09.081000Z	0	450
410	410	Toronto	Ursula Franklin St / St. George St - SMART	0	16	16	1	43.660296	-79.397107	2023-06-05T15:38:08.653000Z	0	516
411	411	Toronto	Rouge Hill GO Station	16	25	9	0	43.7805505	-79.1301203	2023-06-05T15:38:08.680000Z	0	10
