	id	name	is_closed	latitude	longitude	address	rating	categories
5972	ppINvSvnpppdPo3Np61qdA	Good Behaviour	False	43.670771021124935	-79.434624	342 Westmoreland Avenue N	4.5	Ice Cream & Frozen Yogurt
5973	nK2IiZOQlUQllCdtJEnCQA	Aviv Immigrant Kitchen	False	43.68078	-79.42912	779 St. Clair Avenue W	4.5	Mediterranean
5974	7IF5cjvH1d97pzvYPnf9Mg	Savera Indian Cuisine	False	43.680456	-79.4308274	815 Saint Clair Avenue W	4.0	Indian
5975	Q3SdFs_6P3BPhPPywHZqBQ	Khmer Thai Restaurant	False	43.67937	-79.43781	1018 St Clair Avenue W	4.0	Thai
5976	Jmay78aOzmyWHkpviqUEGA	Actinolite Restaurant	False	43.6678849	-79.4280907	971 Ossington Avenue	4.0	Canadian (New)
5977	If8BMnK0BFY213rOtxs9Yg	Sea Witch Fish and Chips	False	43.6822185	-79.4239619	636 Saint Clair Avenue W	4.0	Fish & Chips
5978	l8SNag-Ii0YUeSGHkA3Vhw	Ferro Bar & Cafe	False	43.68092176829984	-79.42856646629528	769 Saint Clair Avenue W	3.5	Bars
5979	H9oFWXHcqaM16WIw_smZAA	Atomic 10	False	43.67849	-79.43952	145 Lauder Ave	4.5	Mexican
5980	ym4zQit5BHrOk53lk8dFJg	Bar Ape	False	43.6817191516726	-79.4277874112709	283 Rushton Rd	4.5	Ice Cream & Frozen Yogurt
5981	FjTihEfjgq9dm3IJ7S888Q	Local 1794	False	43.68459	-79.31881	1794 Danforth Avenue	4.0	Canadian (New)
5982	efFIGYJDnqPnjXlASxF7PQ	Lucy Ethiopian Restaurant	False	43.6841128	-79.3207142	1690 Danforth Avenue	4.5	Ethiopian
5983	85-1svKd45woQLkcEedssA	Cumin Kitchen - Fine Indian Cuisine	False	43.68469	-79.3184	1820 Danforth Avenue	4.5	Indian
5984	UkoseRjoLT4K2bEzvmyhYA	The Wren	False	43.6824096	-79.3280496	1382 Danforth Avenue	4.0	Bars
5985	ngdC2c9FFkyepjqJRRcLXw	Trecce	False	43.6845613035206	-79.3188472803566	1792 Danforth Avenue	3.5	Italian
5986	0yr2L_2CVaLV9SLIGWngPA	Cafe Cocoro	False	43.68503	-79.31485	1989 Danforth Avenue	4.5	Korean
